,"state","party","fb_title","fb_url","time","video_url"
0,"Telangana","INC","Telangana Congress - Home","https://www.facebook.com/INCTelangana/","09/04/2019, 10:22","https://www.facebook.com/INCTelangana/videos/205421373715421/"
1,"Telangana","BJP","BJP Telangana - Home","https://www.facebook.com/BJP4Telangana/","09/04/2019, 16:15","https://www.facebook.com/BJP4Telangana/videos/347416065903086/"
2,"Uttarakhand","INC","Indian National Congress Uttarakhand - Home","https://www.facebook.com/INCUttarakhand/","10/04/2019, 11:19","https://www.facebook.com/INCUttarakhand/videos/1578975715567762/"
3,"Uttarakhand","BJP","Bjp4uttarakhand - Home","https://www.facebook.com/bjpforuttarakhand/","12/08/2017, 12:04","https://www.facebook.com/bjpforuttarakhand/videos/1929774787285738/"
4,"West Bengal","INC","Indian National Congress - West Bengal - Home","https://www.facebook.com/INCWestBengal/","10/04/2019, 12:45","https://www.facebook.com/INCWestBengal/videos/561896904317903/"
5,"West Bengal","BJP","BJP West Bengal - Home","https://www.facebook.com/BJP4Bengal/","10/04/2019, 12:42","https://www.facebook.com/BJP4Bengal/videos/764713913909988/"
6,"Odisha","INC","Indian National Congress - Odisha - Home","https://www.facebook.com/INCOdisha/","07/04/2019, 20:40","https://www.facebook.com/INCOdisha/videos/2281528225465389/"
7,"Odisha","BJP","BJP Odisha - Home","https://www.facebook.com/BJP4Odisha/","10/04/2019, 15:46","https://www.facebook.com/BJP4Odisha/videos/1892508910966117/"
8,"Sikkim","INC","Indian National Congress - Sikkim - Home","https://www.facebook.com/INCSikkim/","18/03/2019, 22:44","https://www.facebook.com/INCSikkim/videos/2040375616235523/"
9,"Sikkim","BJP","BJP Sikkim - Home","https://www.facebook.com/BJP4Sikkim/","09/04/2019, 11:19","https://www.facebook.com/BJP4Sikkim/videos/2219286264778551/"
10,"Uttar Pradesh","INC","Indian National Congress - Uttar Pradesh - Home","https://www.facebook.com/INCUttarPradesh/","10/04/2019, 14:17","https://www.facebook.com/INCUttarPradesh/videos/535247823603028/"
11,"Uttar Pradesh","BJP","BJP Uttar Pradesh - Home","https://www.facebook.com/BJP4UP/","10/04/2019, 16:22","https://www.facebook.com/BJP4UP/videos/446281002781732/"
12,"Tripura","INC","Indian National Congress - Tripura - Home","https://www.facebook.com/INCTripura/","09/04/2019, 19:51","https://www.facebook.com/INCTripura/videos/2240173116308605/"
13,"Tripura","BJP","BJP Tripura - Home","https://www.facebook.com/BJP4Tripura/","10/04/2019, 16:05","https://www.facebook.com/BJP4Tripura/videos/326444704897451/"
14,"Maharastra","INC","Indian National Congress - Maharashtra - Home","https://www.facebook.com/INCMaharashtra/","09/04/2019, 16:11","https://www.facebook.com/INCMaharashtra/videos/2448193525415524/"
15,"Maharastra","BJP","BJP Maharashtra - Home","https://www.facebook.com/BJP4Maharashtra/","10/04/2019, 14:54","https://www.facebook.com/BJP4Maharashtra/videos/1233813253331232/"
16,"Nagaland","INC","Indian National Congress - Nagaland - Home","https://www.facebook.com/INCNagaland/","08/04/2019, 10:56","https://www.facebook.com/INCNagaland/videos/375634449955586/"
17,"Nagaland","BJP","BJP Nagaland - Home","https://www.facebook.com/BJP4Nagaland/","09/04/2019, 22:34","https://www.facebook.com/BJP4Nagaland/videos/2026946860737708/"
18,"Mizoram","INC","Indian National Congress - Mizoram - Home","https://www.facebook.com/INCMizoram/","13/03/2019, 12:05","https://www.facebook.com/INCMizoram/videos/1103138436522093/"
19,"Mizoram","BJP","BJP Mizoram - Home","https://www.facebook.com/BJP4Mizoram/","05/04/2019, 08:00","https://www.facebook.com/BJP4Mizoram/videos/498652317300013/"
20,"Manipur","INC","Indian National Congress - Manipur - Home","https://www.facebook.com/incmanipur/","10/04/2019, 15:03","https://www.facebook.com/incmanipur/videos/2246256072368539/"
21,"Manipur","BJP","BJP Manipur - Home","https://www.facebook.com/BJP4Manipur/","09/04/2019, 16:08","https://www.facebook.com/BJP4Manipur/videos/347416069236419/"
23,"Meghalya","BJP","Bharatiya Janata Party (BJP) - Home","https://www.facebook.com/BJP4India/","10/04/2019, 16:08","https://www.facebook.com/BJP4India/videos/617237035460999/"
24,"Nagaland","INC","Indian National Congress - Nagaland - Home","https://www.facebook.com/INCNagaland/","08/04/2019, 10:56","https://www.facebook.com/INCNagaland/videos/375634449955586/"
25,"Nagaland","BJP","BJP Nagaland - Home","https://www.facebook.com/BJP4Nagaland/","09/04/2019, 22:34","https://www.facebook.com/BJP4Nagaland/videos/2026946860737708/"
27,"Jammu and Kashmir","BJP","BJP Jammu & Kashmir - Home","https://www.facebook.com/BJP4JnK/","10/04/2019, 16:29","https://www.facebook.com/BJP4JnK/videos/501225347079533/"
28,"Chattisgarh","INC","AICPFC #INC CHATTISGARH","https://www.facebook.com/groups/AmeenShaikhCHATTISGARH/","09/04/2019, 09:07",
29,"Chattisgarh","BJP","Bjp Chhattisgarh - Home","https://www.facebook.com/BJP4CGState/","09/04/2019, 20:28","https://www.facebook.com/BJP4CGState/videos/334067113905417/"
30,"Andhra Pradesh","INC","Indian National Congress - Andhra Pradesh - Home","https://www.facebook.com/INCAndhraPradesh/","05/04/2019, 14:19","https://www.facebook.com/INCAndhraPradesh/videos/489686358233297/"
31,"Andhra Pradesh","BJP","BJP Andhra Pradesh - Home","https://www.facebook.com/BJP4Andhra/","09/04/2019, 16:57","https://www.facebook.com/BJP4Andhra/videos/1826038380970611/"
32,"Arunachal Pradesh","INC","Indian National Congress - Arunachal Pradesh - Home","https://www.facebook.com/INCArunachalPradesh/","10/04/2019, 12:14","https://www.facebook.com/INCArunachalPradesh/videos/1994593840587928/"
33,"Arunachal Pradesh","BJP","BJP Arunachal Pradesh - Home","https://www.facebook.com/BJP4Arunachal/","10/04/2019, 14:46","https://www.facebook.com/BJP4Arunachal/videos/1026487844208777/"
34,"Telangana","telgu desham party","Telugu Desam Party Telangana - Home","https://www.facebook.com/TeluguDesamPartyTelangana/","08/04/2019, 10:42","https://www.facebook.com/TeluguDesamPartyTelangana/videos/289787825022794/"
35,"Telangana","TRS","TRS Party - Home","https://www.facebook.com/trspartyonline/","10/04/2019, 11:00","https://www.facebook.com/trspartyonline/videos/2034609003318624/"
36,"Maharastra","Shiv Sena","ShivSena - Home","https://www.facebook.com/Shivsena/","10/04/2019, 16:07","https://www.facebook.com/Shivsena/videos/644578235995340/"
37,"west bengal","aitmc","All India Trinamool Congress - Home","https://www.facebook.com/AITCofficial/","10/04/2019, 15:31","https://www.facebook.com/AITCofficial/videos/428955067674202/"
38,"andhra pradesh","telgu desham party","Telugu Desam Party (TDP) - Home","https://www.facebook.com/TDP.Official/","09/04/2019, 18:15","https://www.facebook.com/TDP.Official/videos/392094584679090/"
